ModelGeneID,InfectedCandida48R1,InfectedCandida48R2
CAALFM_CR00150CA,122.2707861,147.6098081
CAALFM_CR00200WA,812.4165411,840.6679275
CAALFM_CR00330CA,32.5154431,22.4307678
CAALFM_CR00350WA,31.0999699,85.8172161
CAALFM_CR00360CA,0,0
CAALFM_CR00510CA,128.4471358,59.0728097
CAALFM_CR00540CA,295.9097724,153.0999447
CAALFM_CR00560WA,0,0
CAALFM_CR00620CA,119.9250636,41.3651329
CAALFM_CR00640WA,27.5136177,83.5131447
CAALFM_CR00750CA,0,126.0384374
CAALFM_CR00850CA,0,0
CAALFM_CR01060WA,0,0
CAALFM_CR01140CA,180.1467995,0
CAALFM_CR01220WA,0,33.0445602
CAALFM_CR01320CA,25.0294052,8.6332635
CAALFM_CR01330WA,65.2288063,0
CAALFM_CR01340WA,0,0
CAALFM_CR01480WA,0,0
CAALFM_CR01490CA,0,205.3483385
CAALFM_CR01590CA,91.5352377,31.5727769
CAALFM_CR01620CA,97.6733428,78.6099109
